bucket,n,mape_mean,mape_median,mape_p90
<0.001,3663,726.5663970049444,194.34287575947334,1561.2078379539346
0.001-0.005,7767,154.83614609515794,65.28845656201803,379.52452481628376
0.005-0.01,15218,92.91420233829906,65.52148504424544,208.18506791255322
0.01-0.05,35193,61.96023179863049,47.484607966768046,114.61051455106895
0.05-0.1,6569,68.62634982961616,52.223048671716825,139.82259114924798
>=0.1,5903,55.10476139780902,52.66591432390133,92.89468614907764
