fanout_bucket,n_nets,gnd_mape_median,gnd_mape_mean,cpl_mape_median,cpl_mape_mean,total_mape_median
1,44019,0.23317651506012144,0.264937350336535,0.17958332479157296,0.2392329139659946,0.09810680981799061
2-5,312,0.18484273687199831,0.24857474810341737,0.2145290855521878,0.2619348074987924,0.10453051399173777
6-20,12037,0.1660693706542678,0.1948185575431985,0.1621399642111705,0.20760849154213223,0.0726214201541464
>20,39226,0.17284577878670665,0.2177926442409834,0.12357696025869805,0.14950244097876383,0.06409602216991189
