dominant_layer,n_nets,gnd_mape_median,gnd_mape_mean,cpl_mape_median,cpl_mape_mean,total_mape_median
M2,73640,0.19423241944343764,0.23252769139903112,0.15264070601596896,0.19779640206119908,0.07887336843643397
M3,19651,0.2173597080930886,0.2521165085542436,0.1489613509112707,0.2047127801632109,0.07892017141473966
M4,1708,0.2081724721220628,0.25296067151638124,0.13685861843437763,0.17061478792818086,0.08277296913138556
M5,595,0.17957883068769281,0.19875673082759962,0.13362094956865037,0.16123615761190827,0.06884674302777333
