net_id,design,fanout,bbox_xy_um2,compact_gnd_estimate_fF,gnd_gold,gnd_pred,cpl_gold,cpl_pred,dominant_layer,gnd_rel_err
intel22_nova_f3::ext_frame_RAM1_data[31],intel22_nova_f3,114.0,111.6602404811904,1.8884141272505208,0.1278207153081894,1.178020167350769,2.224151849746704,2.1312304496765138,M2,8.216191323217341
intel22_nova_f3::ext_frame_RAM1_data[26],intel22_nova_f3,115.0,44.17908690604364,1.7307326589796794,0.1341850310564041,0.9842083096504212,1.8057575225830078,2.2752270221710207,M2,6.334710152853885
intel22_nova_f3::ext_frame_RAM1_data[11],intel22_nova_f3,110.0,55.54240460695296,1.5875692372548407,0.13596980273723602,0.9242348313331604,2.2705159187316895,2.4941220760345457,M3,5.7973536235781715
intel22_nova_f3::ext_frame_RAM1_data[20],intel22_nova_f3,86.0,204.2836795698919,2.2086695034275072,0.2294870764017105,1.300566840171814,2.6207947731018066,1.9950167417526246,M2,4.667277044809309
intel22_nova_f3::ext_frame_RAM0_data[4],intel22_nova_f3,92.0,254.7650525823477,2.136673205115363,0.22659064829349518,1.2819823026657104,2.583698272705078,2.0908097505569456,M3,4.657701729178171
intel22_nova_f3::ext_frame_RAM1_data[15],intel22_nova_f3,102.0,92.97931932611168,1.0912621522372687,0.1773070991039276,0.9989843010902405,2.2773706912994385,2.2228421449661253,M4,4.634203628274868
intel22_nova_f3::ext_frame_RAM1_data[3],intel22_nova_f3,105.0,84.51818929637817,1.5545300621877507,0.18229179084300995,0.9637396574020386,2.1898484230041504,2.1037554264068605,M3,4.286796804975234
intel22_nova_f3::ext_frame_RAM1_data[12],intel22_nova_f3,94.0,191.994404424378,2.1504979925785985,0.22699378430843353,1.1853857636451721,2.7175776958465576,2.548728513717651,M3,4.222106707708345
intel22_nova_f3::ext_frame_RAM0_data[26],intel22_nova_f3,109.0,26.547890342224058,1.5742053013271518,0.1712498813867569,0.8785587549209595,1.859147071838379,1.9547250270843506,M3,4.130273655120325
intel22_nova_f3::ext_frame_RAM0_data[11],intel22_nova_f3,112.0,52.87929682278027,1.695400870886232,0.18402911722660065,0.9347992777824402,1.9964847564697266,1.9754193544387817,M2,4.079627027887079
intel22_nova_f3::ext_frame_RAM0_data[20],intel22_nova_f3,88.0,202.22953372097493,2.0283079245385296,0.27465230226516724,1.3663639783859254,2.4579601287841797,2.2466784477233888,M3,3.9748863094063873
intel22_nova_f3::ext_frame_RAM1_data[19],intel22_nova_f3,106.0,53.01622538899633,1.6352235557830392,0.21415123343467712,1.0467903733253479,2.2176268100738525,2.611556386947632,M3,3.8880893961540126
intel22_nova_f3::ext_frame_RAM0_data[3],intel22_nova_f3,92.0,64.2284310614243,1.2019983803260377,0.17530302703380585,0.8567098617553711,2.2716758251190186,1.614967942237854,M3,3.8870226387486233
intel22_nova_f3::ext_frame_RAM1_data[21],intel22_nova_f3,84.0,164.87931135810084,2.167668753443485,0.2542661130428314,1.214792263507843,2.318584442138672,1.9507924795150757,M3,3.7776412238748063
intel22_nova_f3::ext_frame_RAM1_data[22],intel22_nova_f3,89.0,228.0418166153653,2.3647269821460903,0.27196913957595825,1.2785150289535523,2.5513508319854736,2.37011137008667,M2,3.7009562590334846
intel22_nova_f3::ext_frame_RAM0_data[10],intel22_nova_f3,112.0,21.372517692649577,1.8409472439259549,0.15151357650756836,0.6815356135368347,2.2806968688964844,2.2340235233306887,M2,3.4981818081681335
intel22_nova_f3::n_117073,intel22_nova_f3,120.0,110.6039567262946,1.790695487150445,0.40252208709716797,1.700064754486084,3.5681655406951904,2.7208429336547852,M2,3.223531599834153
intel22_nova_f3::ext_frame_RAM0_data[13],intel22_nova_f3,84.0,126.05443512300178,2.073273390131166,0.2647339403629303,1.1103704452514649,2.0531136989593506,1.8726767539978026,M2,3.1942882115123985
intel22_nova_f3::ext_frame_RAM0_data[12],intel22_nova_f3,75.0,187.4761573458322,2.041078270773406,0.2539141774177551,1.0380268692970276,2.4021334648132324,1.88261239528656,M2,3.088101262613636
intel22_nova_f3::ext_frame_RAM0_data[27],intel22_nova_f3,92.0,48.4262821497243,1.2063213756174958,0.20254769921302795,0.7999223470687866,2.0503828525543213,1.864655041694641,M2,2.94930354764225
intel22_nova_f3::n_125703,intel22_nova_f3,1.0,0.2325774420985775,0.09817213788017526,0.025288119912147522,0.09913494437932968,0.30665919184684753,0.19361527860164643,M2,2.920218059853028
intel22_nova_f3::ext_frame_RAM1_data[27],intel22_nova_f3,93.0,71.03810915968992,1.2738436502076116,0.19141192734241486,0.741409695148468,2.270693778991699,1.896952748298645,M2,2.873372497953943
intel22_nova_f3::n_122532,intel22_nova_f3,214.0,203.48062447776164,2.48564728654469,0.5449596047401428,2.05518114566803,5.680624008178711,3.9575762271881105,M2,2.7712541035918017
intel22_nova_f3::ext_frame_RAM0_data[23],intel22_nova_f3,84.0,67.14695222897932,1.2254403989480696,0.23479297757148743,0.8703112959861755,2.1011431217193604,1.651741123199463,M3,2.7067177433839213
intel22_nova_f3::ext_frame_RAM1_data[14],intel22_nova_f3,75.0,209.9404252311277,1.559038159356701,0.3012571930885315,1.1125757932662963,2.7374911308288574,1.9526613473892211,M3,2.693109471876875
intel22_nova_f3::n_188879,intel22_nova_f3,1.0,0.2692641376418445,0.09675646031438037,0.025062719359993935,0.09234147369861603,0.3010513186454773,0.17832639813423157,M2,2.68441558045832
intel22_nova_f3::ext_frame_RAM0_data[19],intel22_nova_f3,92.0,37.34998770877383,1.1693688017334232,0.2646087408065796,0.9598322033882141,1.8646589517593384,1.8898152828216552,M3,2.6273639353804277
intel22_nova_f3::ext_frame_RAM0_data[8],intel22_nova_f3,105.0,22.93756030966457,0.8805792150905464,0.21346792578697205,0.7721375465393067,1.6487131118774414,2.1235081911087037,M4,2.61711270530568
intel22_nova_f3::ext_frame_RAM0_data[7],intel22_nova_f3,97.0,173.04989882978157,1.4792351742414576,0.4035431146621704,1.4375006675720214,2.1298410892486572,1.938105034828186,M3,2.5621984748158506
intel22_nova_f3::ext_frame_RAM0_data[2],intel22_nova_f3,95.0,56.62942938048801,1.24761199141517,0.2576524615287781,0.8884800195693969,2.124448776245117,2.115019607543945,M2,2.4483661219365436
intel22_nova_f3::n_127742,intel22_nova_f3,1.0,0.1248281620320634,0.0629238676099218,0.0179402194917202,0.06153595000505448,0.18957920372486115,0.1250665456056595,M3,2.430055581731018
intel22_nova_f3::ext_frame_RAM1_data[28],intel22_nova_f3,76.0,200.0788300308733,1.5923294045598793,0.2400050014257431,0.8202308893203736,2.5434529781341553,1.9556782484054565,M2,2.417557486084934
intel22_nova_f3::ext_frame_RAM0_data[31],intel22_nova_f3,102.0,108.01013790038655,1.3487912911305684,0.2718360126018524,0.9196181774139405,2.0927746295928955,1.8253235816955566,M2,2.382988768161742
intel22_nova_f3::n_116984,intel22_nova_f3,151.0,162.9067256300568,2.3250002995882375,0.7308757305145264,2.454140853881836,4.832376956939697,3.988007068634033,M2,2.357808655315665
intel22_nova_f3::ext_frame_RAM1_data[18],intel22_nova_f3,126.0,34.8203295236142,2.0937797763446917,0.2496069371700287,0.8287844777107238,1.911317229270935,2.3418154239654543,M2,2.320358348639035
intel22_nova_f3::n_157689,intel22_nova_f3,1.0,0.0486901864385678,0.048056696196520976,0.008615260012447834,0.028561651334166528,0.094283327460289,0.04975197017192841,M2,2.3152396204988563
intel22_nova_f3::n_156521,intel22_nova_f3,1.0,0.3598923432158072,0.08452658052106425,0.025085970759391785,0.08284136056900024,0.2529638409614563,0.13536018133163452,M2,2.3022983787855114
intel22_nova_f3::ext_frame_RAM1_data[0],intel22_nova_f3,122.0,17.867024648925735,1.6460834837004545,0.24226437509059906,0.7938067674636841,1.7693352699279785,2.0917364835739134,M2,2.276613687698928
