quartile,axis,axis_min,axis_max,n_nets,gnd_mape_median,gnd_mape_mean,cpl_mape_median,cpl_mape_mean,total_mape_median
Q1,compact_gnd_estimate_fF,0.028669780452992167,0.07670797043670312,23944,0.22372213207190883,0.2573596466122762,0.18315913418373928,0.23637389680937165,0.10903415693583737
Q2,compact_gnd_estimate_fF,0.07670797082448322,0.14085064574927206,23853,0.23650932290794804,0.26671403454310355,0.17311506947460956,0.2369654979718767,0.08715476293941493
Q3,compact_gnd_estimate_fF,0.14085064671872216,0.4596102686343146,23898,0.185296766496958,0.2212475579162659,0.1431770178164228,0.1747079130061926,0.07399984892223227
Q4,compact_gnd_estimate_fF,0.45961169628662063,52.40534914683193,23899,0.154506189890029,0.20153455803559067,0.11800674891535283,0.1459742729396885,0.05635794203586787
