bucket,n,mape_mean,mape_median,mape_p90
<0.001,3660,585.3747746127348,154.85773204942686,1277.2584652723258
0.001-0.005,7753,120.78002213678525,62.49947954226367,280.960295020061
0.005-0.01,15191,72.98325662765119,54.90751966773035,154.73610716652465
0.01-0.05,35133,52.44020243341701,44.457062646709375,94.12238029059675
0.05-0.1,6565,58.6093476935833,50.997397002285744,98.25164542970612
>=0.1,5900,54.678138698846695,56.29767135835402,91.11244276246511
