metric,n,mape_mean,mape_median,mape_p90,ci_lo,ci_hi,bias_pct,r2_lin,r2_log,g_mean,p_mean
total_cap,3280,10.791003646096303,7.6944242013901984,22.980146920630133,10.407439215237769,11.162102141934378,-4.835131364900446,0.922069212700378,0.9751968064587175,1.3581915077134148,1.1561790385365853
c_gnd,3280,25.58715796570742,18.89689422958329,55.5278495540826,24.753194914317067,26.439405550968107,6.8639722871715545,0.928595057920791,0.93962445217252,0.5324178090083537,0.5087842559146342
c_cpl_total,3280,20.146689559005626,16.57461716020028,40.18278569828364,19.585863089132353,20.724591933576214,-3.7419561217393795,0.8484988790000495,0.9473879419110305,0.8257737370198017,0.6473949036217377
total_res,3280,18.575955620087367,12.153556634966582,44.9115554483269,17.94188886658743,19.216539973941774,-14.109468594886074,0.864613997901398,0.7973952349722324,250.67485721067075,196.7247967469512
