bucket,n,mape_mean,mape_median,mape_p90
<0.001,3660,613.4874158404351,146.13220661456455,1288.1803685417876
0.001-0.005,7753,139.55659383339614,64.22338091262836,346.0753757688595
0.005-0.01,15191,83.0772995444661,63.44206232265453,177.2168755595345
0.01-0.05,35133,52.181132895260134,41.31240648307578,96.19822626702681
0.05-0.1,6565,57.032968895258016,46.72600970270503,99.20815974385138
>=0.1,5900,51.272285109419265,50.55626754726676,89.17700339829304
