metric,n,mape_mean,mape_median,mape_p90,ci_lo,ci_hi,bias_pct,r2_lin,r2_log,g_mean,p_mean
total_cap,3280,10.588198553771003,7.423559666884469,21.97685239050524,10.158735472683926,11.018876348975972,0.3232107918136865,0.9391554857448419,0.980595707564502,1.3581915077134148,1.2486572216768292
c_gnd,3280,27.786736997785958,20.22958134859832,62.135755041185,26.81859285595849,28.81744033106346,12.832084725586137,0.9240979690969829,0.9371656315284864,0.5324178090083537,0.5488787720731707
c_cpl_total,3280,19.85095016191955,15.59739635950751,40.09190375659762,19.205538519131697,20.51518759421151,1.3313201926529923,0.8764993659149367,0.9551879354338472,0.8257737370198017,0.699778373015
total_res,3280,21.542895128569985,14.024866310659508,52.871013836031786,20.838785114515115,22.23925090833616,-19.381889735037376,0.8539325077608187,0.6642884719224496,250.67485721067075,186.36778300609757
