bucket,n,mape_mean,mape_median,mape_p90
<0.001,3663,718.318122608801,191.84832433533663,1565.9994316228203
0.001-0.005,7767,155.34643619751262,65.2987725940995,373.7098739610295
0.005-0.01,15218,92.0418210573629,64.89522488840217,206.55954903855292
0.01-0.05,35193,61.650623360039035,47.291528325220696,112.72367404421736
0.05-0.1,6569,68.36503684082065,52.42488237585776,137.18064288375905
>=0.1,5903,55.14182912952341,52.99416506705544,92.66657662421528
