net,g_tot,p_tot,err_tot,g_gnd,p_gnd,g_cpl,p_cpl,g_res,p_res,mape,cap_bin
i_tv80_core_PC[12],4.34524,3.883998,0.4612420000000004,1.3031194799999999,1.6292059999999995,3.0421257841319993,2.254793,617.4298419999999,562.8805720199999,10.614879730463688,1-5fF
n_1135,0.0941823,0.097699,0.0035166999999999976,0.02318464,0.028714,0.0709977661,0.06898499999999999,42.44523000000001,42.167922299999994,3.7339287743026,<1fF
n_1162,1.28327,1.164658,0.11861199999999994,0.27972503000000004,0.34119800000000006,1.0035413070000005,0.8234630000000001,203.80934100000002,194.27250922,9.242949652060748,1-5fF
n_2045,0.160329,0.149173,0.011156,0.0284038,0.04175500000000001,0.13192541100000002,0.107419,54.39154800000001,46.58316016,6.958192217253273,<1fF
n_1726,0.407725,0.411415,0.003689999999999971,0.11777093999999999,0.13863399999999998,0.2899544729,0.27277999999999997,93.85137,94.60410394,0.9050217671224406,<1fF
FE_OFN68_i_tv80_core_IR_4,6.67185,6.533116,0.13873400000000036,2.4675838399999988,1.9359739999999999,4.204271370940002,4.5971459999999995,1013.6980789999996,1004.0451370400003,2.0793932717312344,5-20fF
i_tv80_core_RegBusA_r[9],0.531741,0.525732,0.006009000000000042,0.21900452,0.28744400000000003,0.31273663430000004,0.23828700000000003,117.56547900000001,116.82817581,1.13006143968587,<1fF
n_433,1.41957,1.437507,0.017937000000000092,0.68130567,0.5677449999999998,0.7382670508000004,0.8697610000000001,250.486878,249.60080334000006,1.2635516388765677,1-5fF
n_661,0.632302,0.60805,0.02425200000000005,0.2538978,0.18172700000000006,0.3784040505,0.42632499999999995,111.070762,110.073149,3.8355089814677243,<1fF
n_2274,0.217109,0.194851,0.022258,0.04142627,0.053876,0.17568309569999999,0.14097699999999994,77.373926,76.36274000000002,10.251993238419411,<1fF
n_936,0.780898,0.789302,0.008403999999999967,0.15247704,0.22594499999999995,0.6284203231359998,0.563358,179.024807,176.64528102000003,1.076196891271327,<1fF
n_1077,0.171555,0.16565,0.005905000000000021,0.08384934000000001,0.08947500000000001,0.08770611805999999,0.07617299999999999,49.221422000000004,48.55599341999999,3.442044825274705,<1fF
n_1519,3.02795,3.046037,0.018086999999999964,0.5967270499999999,1.0048140000000005,2.4312243346400053,2.0412250000000003,497.1178890000001,483.87709983000025,0.5973348304958788,1-5fF
n_1113,4.71486,3.983339,0.7315209999999999,2.24143628,1.6114309999999996,2.473419885959999,2.371912,562.561259,542.8316682000001,15.51522208506721,1-5fF
n_2350,0.292826,0.289675,0.0031509999999999594,0.06959358,0.09639099999999994,0.22323282831999997,0.193285,95.43059300000002,86.51809155000001,1.0760656499081227,<1fF
i_tv80_core_Save_ALU_r,0.987181,0.910299,0.076882,0.2173268,0.32123899999999994,0.7698532883,0.5890600000000003,202.56801099999998,194.47289413999997,7.7880348183362536,<1fF
A[13],2.32125,2.136217,0.18503300000000023,1.47770129,0.8969879999999999,0.8435510837850007,1.23923,469.7456450000001,473.6509341599999,7.9712654819601605,1-5fF
n_1698,7.42623,6.827563,0.5986670000000007,3.5005036600000006,2.6650149999999995,3.9257359572200037,4.162545000000001,1026.5110849999994,1017.0198990099998,8.0615197751753,5-20fF
n_194,1.03377,1.003003,0.03076699999999999,0.4040868,0.330431,0.6296787797239999,0.672573,175.02230099999997,172.66736805000005,2.9761939309517578,1-5fF
n_277,2.10819,2.06119,0.04700000000000015,0.43005576000000006,0.5916040000000001,1.678134592570001,1.4695889999999998,304.380596,302.8506068500002,2.2294005758494326,1-5fF
i_tv80_core_add_1283_17_n_314,0.167715,0.154639,0.013076000000000004,0.03708872,0.03749599999999999,0.1306260782,0.11714200000000001,82.36331000000001,72.76608383999996,7.79655963986525,<1fF
i_tv80_core_Read_To_Reg_r[2],0.949525,0.95194,0.002415000000000056,0.21853256,0.3473929999999997,0.73099302409,0.604545,211.366775,210.90109051999997,0.25433769516337706,<1fF
n_2488,0.207262,0.193418,0.013843999999999995,0.0885403,0.05013600000000001,0.11872156640000002,0.143284,78.16360999999999,76.51019254,6.679468498808269,<1fF
n_711,0.770208,0.739404,0.030804000000000054,0.20310460000000002,0.21504099999999993,0.5671037251300003,0.524364,128.52279800000002,125.16030943999999,3.9994391125514213,<1fF
n_1967,0.302548,0.26517,0.03737799999999997,0.15469890000000003,0.11542999999999999,0.14784930940000002,0.14973899999999998,82.33794600000002,81.5596878,12.354403268241724,<1fF
n_107,1.01034,0.927821,0.08251900000000001,0.15016806000000002,0.22991,0.8601757992400005,0.6979110000000003,164.99931899999999,164.34382681000002,8.167448581665578,1-5fF
n_773,1.30283,1.18335,0.11948000000000003,0.27975581,0.514499,1.0230739454399995,0.6688510000000001,278.7647390000001,271.8129938000002,9.170805093527171,1-5fF
n_1049,0.128942,0.131958,0.003015999999999991,0.0704028,0.065481,0.0585396263,0.06647600000000001,68.622764,68.84397393999998,2.3390361557909687,<1fF
n_467,0.505965,0.546598,0.04063300000000003,0.23766289999999998,0.22414300000000004,0.268302101249,0.322457,144.97764799999996,145.51077099999995,8.03079264375995,<1fF
i_tv80_core_n_3901,0.559533,0.541832,0.017700999999999967,0.24584725999999998,0.29405599999999993,0.31368625935,0.247776,123.99656999999998,122.37220344,3.163531016043731,<1fF
n_966,0.359285,0.344698,0.014587000000000017,0.0692367,0.09400400000000005,0.29004826679999984,0.25069400000000003,105.354197,105.28737384000001,4.060008071586628,<1fF
n_162,4.87867,4.699683,0.17898699999999934,1.7570920200000002,1.7279620000000009,3.121578141587402,2.9717189999999998,695.4274039999997,691.3332728400002,3.668766282613896,1-5fF
n_1933,1.06263,1.1074,0.044769999999999976,0.37519617000000005,0.413599,0.6874346193999997,0.6937990000000002,208.44991199999998,208.05589522000005,4.213131569784401,1-5fF
n_1083,0.242219,0.204309,0.03791,0.1279303,0.096003,0.11428863470000002,0.108307,78.51587399999998,77.49995624,15.65112563424009,<1fF
n_1958,0.212739,0.223132,0.010392999999999986,0.03621181,0.040811,0.17652677179999998,0.18232300000000007,91.893463,91.91087107999998,4.885328971180641,<1fF
n_2343,0.431802,0.410082,0.021720000000000017,0.06542817000000001,0.10147800000000004,0.3663741080000001,0.30860200000000004,145.11290699999995,121.68493767999996,5.03008323259272,<1fF
n_1340,0.21296,0.199353,0.013607000000000008,0.12612279999999998,0.10158599999999998,0.086836886,0.09776599999999999,75.672622,75.16557544000001,6.38946280991736,<1fF
i_tv80_core_i_reg_RegsH\[0\][7],1.121,1.204983,0.08398299999999992,0.6450194700000002,0.5239039999999999,0.47598206053380016,0.6810790000000001,229.52704000000003,228.73189034000006,7.491793041926844,1-5fF
FE_OFN91_i_tv80_core_IR_3,2.19331,2.004,0.18930999999999987,0.90753381,0.703065,1.285779345649998,1.3009270000000002,439.2983170000001,431.1795760999998,8.631246836972425,1-5fF
i_tv80_core_n_3925,0.354899,0.344461,0.010438000000000003,0.12926207,0.130104,0.22563647480000001,0.21436099999999997,101.862623,101.28555813,2.9411184590545485,<1fF
n_1490,0.566086,0.574438,0.008352000000000026,0.14581252,0.20051300000000002,0.42027406979999976,0.373927,157.67675899999998,158.47830207999996,1.4753941980547172,<1fF
rfsh_n,1.24771,1.175141,0.0725690000000001,1.0977658,0.765353,0.149936178,0.40978699999999985,302.893468,309.17581762,5.816175233026914,1-5fF
i_tv80_core_i_reg_RegsL\[0\][5],0.99087,1.056951,0.06608099999999995,0.3693486999999999,0.459544,0.6215214642139993,0.597407,219.30499900000004,217.15068844,6.668987859154071,<1fF
FE_OFN5_n_2440,0.491994,0.518115,0.026121000000000005,0.20585056000000002,0.22183500000000006,0.28614394119199993,0.296286,152.380869,154.49777385999994,5.309211087940098,<1fF
i_tv80_core_add_1284_21_n_406,0.475608,0.398687,0.07692099999999996,0.17426817000000003,0.20096699999999992,0.3013396199999999,0.19772,112.48432000000003,111.54487656000003,16.173193049738433,<1fF
i_tv80_core_n_254,1.59435,1.620325,0.02597500000000008,0.5231020000000001,0.5100799999999998,1.0712512868000001,1.1102450000000001,273.222454,271.2132355500001,1.6291905792329215,1-5fF
n_2215,0.381315,0.373251,0.008064000000000016,0.08856507000000001,0.128599,0.2927500418000001,0.24464899999999998,106.61823299999999,105.46965308,2.114786987136623,<1fF
FE_RN_1_0,0.122823,0.132363,0.009540000000000007,0.0187077,0.035496,0.10411534359999998,0.09686600000000001,41.293381000000004,40.17213966,7.767274858943363,<1fF
n_1774,2.30985,2.41874,0.10889000000000015,0.85688179,0.8993900000000001,1.4529682711999987,1.5193510000000003,509.6720240000002,502.67100400999993,4.714158928068929,1-5fF
