bucket,n,mape_mean,mape_median,mape_p90
<0.001,2819,6183.213659735944,214.53355463000653,10906.210192344142
0.001-0.005,6017,713.8706784465597,88.10687315576953,1874.9791313539763
0.005-0.01,11712,233.69776400506797,94.224799700853,432.8818147294737
0.01-0.05,27159,146.4949737693785,95.48015439276752,227.6864107305758
0.05-0.1,5367,89.53756545292515,94.07425864732642,99.7075566068179
>=0.1,4750,85.41804570103874,94.72145957403623,99.82916111767236
