label,n,mape_mean,mape_median,mape_p90,mape_p99
deepset_v2::deepset_v2::seed8,3169,8.567133215501125,6.685685011948912,16.556283024729886,43.83481246101519
deepset_v2::deepset_v2::seed3,3169,8.594383755647387,6.516064601089738,17.275554043791562,48.41865965407981
deepset_v2::deepset_v2::seed4,3169,8.661977521536457,6.650390491897109,17.755766869664917,48.06822972384724
resmlp_v3_nova::resmlp_v3_nova::seed1,3169,8.671486198023997,6.365832706968757,17.553509436511263,50.940055584042895
deepset_v2::deepset_v2::seed7,3169,8.69590998621577,6.558264407876873,17.577770651910523,50.84567427969774
resmlp_v3_nova::resmlp_v3_nova::seed2,3169,8.709547314226832,6.52761096644878,17.842301564780474,52.22943859948506
resmlp_v3_nova::resmlp_v3_nova::seed0,3169,8.715636722551785,6.459236233891392,17.83664812739506,52.86229776147562
deepset_v2::deepset_v2::seed5,3169,8.718711256366666,6.535246572242564,17.40991640651293,48.12467004024937
deepset_v2::deepset_v2::seed9,3169,8.727756384618518,6.714963004000577,17.48321113613361,46.62203941109362
resmlp_v3::resmlp_v3::seed4,3169,8.747447916059912,6.522505395748514,17.461169969461956,50.94301959997224
deepset_v2::deepset_v2::seed6,3169,8.804140173314975,6.824193679421561,17.46916242323276,47.10456907933549
deepset_v2::deepset_v2::seed2,3169,8.83193969933946,6.900215944517736,17.568256808430228,50.917902774780444
deepset_v2::deepset_v2::seed1,3169,8.851624584703487,6.864612695199775,17.428364096638088,47.366485814762726
resmlp_v3::resmlp_v3::seed2,3169,8.853481216978963,6.49742642593592,17.856285770186865,52.080784973487646
resmlp_v3::resmlp_v3::seed1,3169,8.88351282914967,6.6316908669129475,18.12617121609316,52.53528881509268
resmlp_v3::resmlp_v3::seed3,3169,8.91687789828399,6.4537135398554675,18.303806764814823,53.367568003245076
resmlp_v3::resmlp_v3::seed0,3169,8.933433949200023,6.548467862337135,17.88720992834997,54.672135408408934
final_pipe_v3_nova::direct_cat::seed0,3169,9.126871925901703,6.945315597424464,18.69239181233711,49.60074626386125
deepset_v2::deepset_v2::seed0,3169,9.136006919143458,7.028723406221524,18.161976891607406,48.24143995844001
final_pipe_v3_nova::direct_cat::seed2,3169,9.152918507458919,6.9578611704626026,18.59127020280477,48.47294685004648
final_pipe_v3_nova::direct_cat::seed1,3169,9.160243439652232,6.946044565708316,19.0380947402729,50.49285222109526
final_pipe_v3::direct_cat::seed2,3169,9.17366021458029,6.967623837621144,18.94211354733857,49.405296947177085
final_pipe_v3_nova::direct_lgbm::seed1,3169,9.18455639020194,6.598165916513781,18.88266119739116,51.08709069851419
final_pipe_v3_nova::direct_xgb::seed0,3169,9.220382471703706,6.780964526323274,18.49390457045408,53.59159541647306
final_pipe_v3_nova::direct_lgbm::seed2,3169,9.23803643651035,6.849297754603971,18.69337670549996,52.27854006505758
final_pipe_v3::direct_cat::seed4,3169,9.249965744648287,6.922045714852096,18.837153126657668,50.70238636065164
final_pipe_v3::direct_cat::seed3,3169,9.253553613233565,6.988591060208959,18.60820415696807,50.660005443881005
final_pipe_v3::direct_cat::seed1,3169,9.257088184635267,6.858259228896442,18.93794052616321,49.94502517998753
final_pipe_v3_nova::direct_lgbm::seed0,3169,9.2643284322526,6.874394883137919,18.71817055660184,52.23802875164525
final_pipe_v3::direct_cat::seed0,3169,9.289620091192026,6.8609048645447235,19.081388936414992,50.24914981616754
final_pipe_v3::direct_lgbm::seed3,3169,9.314347721289861,6.739251424080831,19.143619183195696,53.315614406018305
final_pipe_v3::direct_lgbm::seed1,3169,9.345639784604383,6.619250605641035,19.41480789560321,54.61071137529778
final_pipe_v3_nova::direct_xgb::seed2,3169,9.383414787876067,6.718674835801751,19.11366921739316,54.53586666808807
final_pipe_v3_nova::direct_xgb::seed1,3169,9.384103853513205,6.702775663491047,18.976715427206607,53.639064515373406
final_pipe_v3::direct_lgbm::seed0,3169,9.387517816171115,6.779325259114193,19.16382388858335,52.492973113141886
final_pipe_v3::direct_lgbm::seed2,3169,9.417576396409789,6.742054153671863,19.235991562945305,55.28675904892598
final_pipe_v3::direct_xgb::seed0,3169,9.441328928588712,6.728208731945968,19.36677374976095,55.78406802972617
final_pipe_nova::direct_cat::seed1,3169,9.453000629959455,6.905676940149095,19.805247953070314,52.26023826457238
final_pipe_v3::direct_lgbm::seed4,3169,9.457516876048254,6.914303969521889,19.29713753657995,53.767781484089994
final_pipe_v3::direct_xgb::seed3,3169,9.458097176071897,6.868479787477267,19.133127655005723,54.52917739108912
final_pipe_v3::direct_xgb::seed2,3169,9.459743338258141,6.732939702987995,19.219732978818666,55.63139799077886
final_pipe_nova::direct_cat::seed0,3169,9.46225128320836,6.975668444717547,19.81539828041374,50.58617184670363
final_pipe_v3::direct_xgb::seed1,3169,9.47414003802084,6.672946032021705,19.173054200591675,53.875325420992404
final_pipe_v3::direct_xgb::seed4,3169,9.477065719755245,6.7953329512130445,19.087935522309376,53.3240477810888
final_pipe_nova::direct_lgbm::seed1,3169,9.565181105801916,7.098090211044868,19.87349825991882,52.77657498610603
final_pipe::direct_cat::seed3,3169,9.572029708709042,7.055052104983232,19.65895478867802,52.34600650848528
final_pipe_nova::direct_lgbm::seed2,3169,9.615024040289786,7.01756715527651,19.735874902433743,55.21891823910392
final_pipe::direct_cat::seed1,3169,9.620923806229818,6.9889341422961735,19.920370857420433,53.98441103590468
final_pipe::direct_cat::seed4,3169,9.62646821974758,6.9440701656300625,20.295122185650573,53.46708672183735
final_pipe::direct_cat::seed0,3169,9.636390610268501,7.122397108062675,19.83185120703667,52.940408025243244
final_pipe_nova::direct_xgb::seed2,3169,9.637095495174211,6.8285731081948855,19.797484924041363,53.76080250831261
final_pipe_nova::direct_lgbm::seed0,3169,9.65064329179027,6.93491236543158,19.82616420010575,54.54627904106774
final_pipe::direct_cat::seed2,3169,9.676531452953627,7.019537355510855,20.31513735863755,54.51667132462113
final_pipe_nova::direct_xgb::seed0,3169,9.681792995799816,7.001846723758304,19.6868803161588,53.830074868559265
final_pipe_nova::direct_xgb::seed1,3169,9.724594969569747,6.984844249609688,20.150009436632274,52.57017642127965
final_pipe::direct_lgbm::seed0,3169,9.736011540024158,6.966283830546165,20.323354977407387,55.4983416380984
final_pipe::direct_lgbm::seed3,3169,9.81051941010802,7.052339250596722,20.142932807858408,54.689091346643956
final_pipe::direct_lgbm::seed2,3169,9.814639675829396,7.0006565112718935,20.46659516935685,54.20009284620227
final_pipe::direct_lgbm::seed4,3169,9.842218556698088,7.050625864967746,20.239294607574294,55.98861781833768
final_pipe::direct_lgbm::seed1,3169,9.859698029921917,6.995811883477137,20.116051038647182,54.510754710433694
final_pipe::direct_xgb::seed1,3169,9.867400837388175,7.1079162351418494,20.531935683698112,54.249840767260196
final_pipe::direct_xgb::seed2,3169,9.875807312206671,7.012198391420904,20.310723464234822,55.33566262647263
final_pipe::direct_xgb::seed0,3169,9.880775554749356,7.043506685198298,20.244364096100472,54.977162556318476
