group,label,n,mape_mean,mape_median,mape_p90,mape_p99
deepset_v2,deepset_v2,3169,8.398483685410802,6.426592844783869,16.77055579002339,45.86425780112537
resmlp_v3_nova,resmlp_v3_nova,3169,8.554046172283883,6.373150616118473,17.359794486103915,51.59952633026749
resmlp_v3,resmlp_v3,3169,8.725358032199916,6.409806669335906,17.951581487097116,53.049921581298996
direct_cat,direct_cat,3169,9.185843620516014,6.872784023624166,18.96279697542858,50.15028721266999
direct_lgbm,direct_lgbm,3169,9.254217873733403,6.691897092602166,19.049939523428556,54.50853348560973
direct_xgb,direct_xgb,3169,9.366824469707435,6.713220360414854,19.189072266710507,54.38213556632346
resmlp_v2,resmlp_v2,3169,10.351320431501984,7.4835853436570705,21.559354154020163,54.681402588619854
mlp_hand_v2,mlp_hand_v2,3169,11.546738806289977,8.242673229837193,24.329222430860842,59.898575579719996
