label,n,mape_mean,mape_median,mape_p90,mape_p99
ENS_val_tuned,3169,8.046850397502297,6.080337642106281,16.234719338359252,46.55488077628426
ENS_group_median,3169,8.389788078123814,6.305678400264407,17.10880837134352,49.141104102634344
ENS_group_geomean,3169,8.452496973533576,6.401381340430127,17.04531463734278,45.22671230195532
ENS_group_mean,3169,8.481594635934826,6.38099228901303,17.072077471585946,45.61707668446774
ENS_geomean,3169,8.526958722081499,6.419432012695693,17.45125681957964,46.65758189234111
ENS_trim10_mean,3169,8.57859337867145,6.3776912331951845,17.57786372656063,48.11136020458793
ENS_mean,3169,8.591486566487506,6.407695483299725,17.52710596584486,51.77803186191841
ENS_trim20_mean,3169,8.592983707946336,6.3910841766085085,17.623161558105778,47.24014327317379
ENS_median,3169,8.631562307614027,6.455832329703773,17.80160241352287,47.07060639773701
