net_name,wirelen_M4,wirelen_M2,wirelen_M3,n_via_v3,n_via_v2,n_via_v1,wirelen_M5,n_via_v4,wirelen_M1,wirelen_M6,wirelen_M7,wirelen_M8,n_via_v5,n_via_v6,n_via_v7,R_gold,R_pred_analytic,ape,bias_signed,R_pred_analytic_cal,ape_cal,bias_signed_cal,q,R_v7,ape_v7
i_tv80_core_i_mcode_n_14693,9.63,2.43,2.43,4.0,5.0,7,8.64,2.0,0.0,0.0,0.0,0.0,0,0,0,584.061085,537.0360730666666,8.051385915110817,-8.051385915110817,628.2966648408685,7.573793388557716,7.573793388557716,Q4_long,200.382,65.69160227478604
i_tv80_core_i_mcode_n_14735,0.0,1.5840000000000003,12.42,0.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,284.7794180000001,264.40646879999997,7.153940176954818,-7.153940176954818,309.338070272923,8.623745509910032,8.623745509910032,Q4_long,315.384,10.74676752095895
i_tv80_core_i_mcode_n_14762,0.09,2.232,3.24,2.0,5.0,4,18.72,2.0,0.0,0.0,0.0,0.0,0,0,0,536.876029,488.9292083111111,8.930706177773661,-8.930706177773661,572.0148167533301,6.545046874001916,6.545046874001916,Q4_long,163.291,69.58497098405562
i_tv80_core_i_mcode_n_14771,4.05,1.35,2.79,4.0,3.0,3,9.63,2.0,0.0,0.0,0.0,0.0,0,0,0,424.52080100000023,392.1642878638889,7.621891096947998,-7.621891096947998,458.8062636604089,8.076273902161189,8.076273902161189,Q4_long,412.93,2.730325810348271
i_tv80_core_n_183,8.82,4.247999999999999,16.38,5.0,7.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,681.260569,626.439096,8.047063854065518,-8.047063854065518,732.8922850474313,7.5788499139499255,7.5788499139499255,Q4_long,656.737,3.599734098216987
i_tv80_core_n_184,8.909999999999998,8.19,15.21,9.0,14.0,10,4.95,2.0,0.0,0.0,0.0,0.0,0,0,0,1044.6510709999998,946.3469507861112,9.410234952402458,-9.410234952402458,1107.163303883738,5.984029942543209,5.984029942543209,Q4_long,893.15,14.502552594425074
i_tv80_core_n_187,15.93,1.314,10.26,7.0,10.0,10,22.770000000000003,6.0,0.0,0.0,0.0,0.0,0,0,0,1194.8499259999999,1095.225124336111,8.337850594961562,-8.337850594961562,1281.340914290652,7.23864867115138,7.23864867115138,Q4_long,1015.46,15.01359477005984
i_tv80_core_n_191,23.94,13.986,31.049999999999997,12.0,22.0,24,18.54,7.0,0.0,0.0,0.0,0.0,0,0,0,2135.1301060000023,1997.2041642388886,6.459837804428094,-6.459837804428094,2336.5966986761705,9.435799350588518,9.435799350588518,Q4_long,2294.17,7.448721441052902
i_tv80_core_n_195,15.75,10.278,12.6,11.0,14.0,14,6.84,3.0,0.0,0.0,0.0,0.0,0,0,0,1243.1231560000006,1142.5809939444446,8.087868170605935,-8.087868170605935,1336.74414775624,7.53111156399691,7.53111156399691,Q4_long,1274.63,2.534490959156386
i_tv80_core_n_197,3.33,0.738,2.52,4.0,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,266.693756,240.55897199999998,9.79954851286433,-9.79954851286433,281.43807722649075,5.528558841284136,5.528558841284136,Q4_long,14.3993,94.60081097661694
i_tv80_core_n_198,9.72,3.564,7.649999999999999,5.0,10.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,670.160287,584.6454768,12.760351793271818,-12.760351793271818,683.9965164540066,2.064614946962169,2.064614946962169,Q4_long,633.671,5.444859641466637
i_tv80_core_n_199,0.0,1.8900000000000003,1.71,0.0,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,168.331626,147.0853624,12.621670748906087,-12.621670748906087,172.08014000832023,2.226862591061901,2.226862591061901,Q3,149.175,11.380289286815295
i_tv80_core_n_201,0.0,0.846,3.69,0.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,150.71445500000002,135.57606959999998,10.044415049638094,-10.044415049638094,158.6150291087413,5.2420811983437785,5.2420811983437785,Q3,139.316,7.562947429296023
i_tv80_core_n_204,17.279999999999998,2.52,4.32,8.0,10.0,9,15.48,5.0,0.0,0.0,0.0,0.0,0,0,0,1026.8230210000002,939.6813726111111,8.486530454296178,-8.486530454296178,1099.3650185419845,7.064703075252176,7.064703075252176,Q4_long,817.408,20.39446104315576
i_tv80_core_n_207,0.0,1.1700000000000002,0.81,0.0,4.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,133.96634299999997,113.66044640000001,15.157461303545444,-15.157461303545444,132.9752003243538,0.7398445411368434,-0.7398445411368434,Q3,92.645,30.84457041572
i_tv80_core_n_208,1.53,0.468,4.41,2.0,4.0,4,20.52,2.0,0.0,0.0,0.0,0.0,0,0,0,531.7253960000003,512.1152674333333,3.688018047320604,-3.688018047320604,599.1409714902151,12.678645029438233,12.678645029438233,Q4_long,,
i_tv80_core_n_210,8.82,1.4400000000000002,2.0700000000000003,5.0,6.0,7,5.49,3.0,0.0,0.0,0.0,0.0,0,0,0,550.802057,505.12535500277784,8.292761694828267,-8.292761694828267,590.9632365336611,7.291399700357525,7.291399700357525,Q4_long,661.22,20.046755744051268
i_tv80_core_n_212,0.0,1.098,7.0200000000000005,0.0,3.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,217.66351500000002,195.9408368,9.979935406262284,-9.979935406262284,229.23781183743014,5.3175181138787195,5.3175181138787195,Q3,224.126,2.969025378460872
i_tv80_core_n_214,1.35,6.497999999999999,1.89,2.0,6.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,327.540997,292.8763136,10.583311315987721,-10.583311315987721,342.6459045758091,4.611608230468041,4.611608230468041,Q4_long,291.384,11.038922556616628
i_tv80_core_n_215,0.45,2.232,7.02,2.0,6.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,350.79271200000017,305.66934879999997,12.863255608343477,-12.863255608343477,357.61290912627254,1.9442242934261338,1.9442242934261338,Q4_long,369.04,5.201729504574156
i_tv80_core_n_216,0.0,2.178,1.17,0.0,4.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,152.33267999999998,131.9218928,13.398823679856475,-13.398823679856475,154.33988408343896,1.317645093251808,1.317645093251808,Q3,80.0079,47.47817736811299
i_tv80_core_n_217,0.0,1.386,2.52,0.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,131.81769899999998,113.7046048,13.741018343826484,-13.741018343826484,133.02686272998378,0.9172999825947501,0.9172999825947501,Q3,148.367,12.5546881227232
i_tv80_core_n_218,0.9,3.726,6.66,4.0,5.0,6,7.92,4.0,0.0,0.0,0.0,0.0,0,0,0,547.5487660000001,497.74659517777775,9.09547677114523,-9.09547677114523,582.3305758592378,6.352276184152276,6.352276184152276,Q4_long,527.848,3.597992950275438
i_tv80_core_n_219,4.86,4.571999999999999,9.09,6.0,5.0,7,1.89,2.0,0.0,0.0,0.0,0.0,0,0,0,590.9277259999999,527.2203239583333,10.78091266302617,-10.78091266302617,616.8128879830801,4.38042773154297,4.38042773154297,Q4_long,609.235,3.0980563602798568
i_tv80_core_n_220,0.0,1.026,7.02,0.0,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,231.646621,208.05562479999998,10.18404503297289,-10.18404503297289,243.41131204978788,5.078723358450314,5.078723358450314,Q3,144.89,37.45214181216139
i_tv80_core_n_221,7.290000000000001,3.204,9.09,8.0,6.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,567.0817939999997,518.4650512,8.573144705823477,-8.573144705823477,606.569798273257,6.963370133031867,6.963370133031867,Q4_long,502.659,11.36040597346346
i_tv80_core_n_224,2.88,5.813999999999999,6.119999999999999,3.0,8.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,472.54771600000015,424.80140399999993,10.10401920977652,-10.10401920977652,496.9895296396332,5.172348275540714,5.172348275540714,Q4_long,409.289,13.386736166131453
