net,total_cap_dnet,total_res,wire_R_true,wirelen_m3,wirelen_m1,wirelen_m2,n_via_v1,n_via_v2,wirelen_m5,wirelen_m4,n_via_v3,n_via_v4,R_analytic_metal,ape_B,bias_B_signed,ape_metal_only_vs_truth,R_analytic_full,ape_C,bias_C_signed,q
m1_n,1.70582,351.26088500000003,314.96218500000003,22.995,0.7180000000000001,2.138,2,1.0,0.0,0.0,0.0,0.0,349.442782561194,0.5175931953841152,-0.5175931953841152,10.947535673590139,385.739482561194,9.815666655054395,9.815666655054395,Q4
mreq_n,1.34928,313.94301199999995,289.259412,22.393,0.404,0.9680000000000001,1,1.0,0.0,0.0,0.0,0.0,322.44220257671645,2.7072399294928413,2.7072399294928413,11.471637291690428,347.12480257671643,10.569367467467785,10.569367467467785,Q4
iorq_n,1.16202,284.91757400000006,260.23397400000005,20.798,0.404,0.178,1,1.0,0.0,0.0,0.0,0.0,290.2261457767164,1.8631956260853,1.8631956260853,11.5250792645223,314.9087457767164,10.52626251012383,10.52626251012383,Q4
rd_n,1.36016,299.60385699999995,274.92025699999994,21.244999999999997,0.404,0.842,1,1.0,0.0,0.0,0.0,0.0,305.1174254567164,1.8402862072354524,1.8402862072354524,10.983973602467731,329.8000254567164,10.078698171337784,10.078698171337784,Q4
wr_n,1.2589,299.031604,274.348004,21.605000000000004,0.404,0.5720000000000001,1,1.0,0.0,0.0,0.0,0.0,306.45048385671646,2.4809684854302034,2.4809684854302034,11.701371757279654,331.13308385671644,10.735146194352227,10.735146194352227,Q4
rfsh_n,1.24771,302.893468,278.20986800000003,21.335,0.404,1.1300000000000001,1,1.0,0.0,0.0,0.0,0.0,310.15964305671645,2.3989210149346842,2.3989210149346842,11.484055287613455,334.8422430567165,10.547858713386484,10.547858713386484,Q4
halt_n,2.29153,479.58307000000013,377.94187000000016,4.0440000000000005,0.808,0.46199999999999997,2,2.0,24.535,0.6020000000000001,1.0,3.0,405.4513835310562,15.457527820768133,-15.457527820768133,7.278768433636637,507.09058353105627,5.7357140507599915,5.7357140507599915,Q4
busak_n,16.3725,2670.8737939999996,1808.3890940000006,45.27499999999999,7.806000000000003,28.426999999999985,27,26.0,23.270000000000003,36.134,14.0,2.0,1879.2314137275741,29.63982731235056,-29.63982731235056,3.9174268393134617,2741.6891137275743,2.6513914617253036,2.6513914617253036,Q4
A[15],2.38865,461.89988800000003,373.32718800000004,2.164,0.6280000000000001,9.822,2,3.0,0.0,17.92,2.0,0.0,410.58259916895526,11.11004574026759,-11.11004574026759,9.979292257963065,499.15329916895524,8.065256592778217,8.065256592778217,Q4
A[14],2.429,512.2369319999999,397.5272319999999,3.3799999999999994,0.6280000000000001,11.420000000000002,2,3.0,0.0,16.580000000000002,4.0,0.0,430.05866460895527,16.043018817519517,-16.043018817519517,8.183447570443517,544.7663646089553,6.3504660786456935,6.3504660786456935,Q4
