bucket,n,mape_mean,mape_median,mape_p90
<0.001,3663,758.2667658925875,206.3096973680828,1616.97394917389
0.001-0.005,7767,163.3012736902961,65.92172230879655,393.47942709615614
0.005-0.01,15218,98.30007640368379,67.68879138954222,221.23235254189052
0.01-0.05,35193,64.828814302809,48.58880724830252,123.70927763337637
0.05-0.1,6569,71.57027908930975,53.31165383235045,148.93437123629067
>=0.1,5903,55.960139391899546,52.558875466119716,93.97682548842978
