net_id,design,fanout,bbox_xy_um2,compact_gnd_estimate_fF,gnd_gold,gnd_pred,cpl_gold,cpl_pred,dominant_layer,gnd_rel_err
intel22_nova_f3::ext_frame_RAM1_data[31],intel22_nova_f3,114.0,111.6602404811904,1.8884141272505208,0.1278207153081894,1.2895592324434972,2.224151849746704,2.1312304496765138,M2,9.08881251629857
intel22_nova_f3::ext_frame_RAM1_data[26],intel22_nova_f3,115.0,44.17908690604364,1.7307326589796794,0.1341850310564041,1.0368981231365355,1.8057575225830078,2.2752270221710207,M2,6.727375512553854
intel22_nova_f3::ext_frame_RAM1_data[11],intel22_nova_f3,110.0,55.54240460695296,1.5875692372548407,0.13596980273723602,1.0099060086059684,2.2705159187316895,2.4941220760345457,M3,6.427428651622221
intel22_nova_f3::ext_frame_RAM1_data[20],intel22_nova_f3,86.0,204.2836795698919,2.2086695034275072,0.2294870764017105,1.4319498279087273,2.6207947731018066,1.9950167417526246,M2,5.23978417591647
intel22_nova_f3::ext_frame_RAM0_data[4],intel22_nova_f3,92.0,254.7650525823477,2.136673205115363,0.22659064829349518,1.3890839037812843,2.583698272705078,2.0908097505569456,M3,5.1303673132266745
intel22_nova_f3::ext_frame_RAM1_data[15],intel22_nova_f3,102.0,92.97931932611168,1.0912621522372687,0.1773070991039276,1.0792967794160198,2.2773706912994385,2.2228421449661253,M4,5.087160552908238
intel22_nova_f3::ext_frame_RAM1_data[3],intel22_nova_f3,105.0,84.51818929637817,1.5545300621877507,0.18229179084300995,1.0458828989502513,2.1898484230041504,2.1037554264068605,M3,4.737410851654684
intel22_nova_f3::ext_frame_RAM1_data[12],intel22_nova_f3,94.0,191.994404424378,2.1504979925785985,0.22699378430843353,1.2913708232244332,2.7175776958465576,2.548728513717651,M3,4.689014028109908
intel22_nova_f3::ext_frame_RAM0_data[20],intel22_nova_f3,88.0,202.22953372097493,2.0283079245385296,0.27465230226516724,1.5137226475608947,2.4579601287841797,2.2466784477233888,M3,4.511414377657203
intel22_nova_f3::ext_frame_RAM0_data[26],intel22_nova_f3,109.0,26.547890342224058,1.5742053013271518,0.1712498813867569,0.9400519757404935,1.859147071838379,1.9547250270843506,M3,4.489358404969907
intel22_nova_f3::ext_frame_RAM0_data[11],intel22_nova_f3,112.0,52.87929682278027,1.695400870886232,0.18402911722660065,1.0029182336111104,1.9964847564697266,1.9754193544387817,M2,4.449780169168484
intel22_nova_f3::ext_frame_RAM0_data[3],intel22_nova_f3,92.0,64.2284310614243,1.2019983803260377,0.17530302703380585,0.9392863470246773,2.2716758251190186,1.614967942237854,M3,4.3580726067185545
intel22_nova_f3::ext_frame_RAM1_data[22],intel22_nova_f3,89.0,228.0418166153653,2.3647269821460903,0.27196913957595825,1.42778973456003,2.5513508319854736,2.37011137008667,M2,4.24982259673349
intel22_nova_f3::ext_frame_RAM1_data[19],intel22_nova_f3,106.0,53.01622538899633,1.6352235557830392,0.21415123343467712,1.1015410817876004,2.2176268100738525,2.611556386947632,M3,4.143753151081453
intel22_nova_f3::ext_frame_RAM1_data[21],intel22_nova_f3,84.0,164.87931135810084,2.167668753443485,0.2542661130428314,1.2829461064391352,2.318584442138672,1.9507924795150757,M3,4.045682616082708
intel22_nova_f3::ext_frame_RAM0_data[10],intel22_nova_f3,112.0,21.372517692649577,1.8409472439259549,0.15151357650756836,0.7498860554200177,2.2806968688964844,2.2340235233306887,M2,3.949299413987232
intel22_nova_f3::ext_frame_RAM0_data[13],intel22_nova_f3,84.0,126.05443512300178,2.073273390131166,0.2647339403629303,1.1901339359072634,2.0531136989593506,1.8726767539978026,M2,3.4955850174544274
intel22_nova_f3::n_117073,intel22_nova_f3,120.0,110.6039567262946,1.790695487150445,0.40252208709716797,1.8061312349334009,3.5681655406951904,2.7208429336547852,M2,3.4870363461506266
intel22_nova_f3::ext_frame_RAM0_data[12],intel22_nova_f3,75.0,187.4761573458322,2.041078270773406,0.2539141774177551,1.116366959153307,2.4021334648132324,1.88261239528656,M2,3.396631060567334
intel22_nova_f3::n_125703,intel22_nova_f3,1.0,0.2325774420985775,0.09817213788017526,0.025288119912147522,0.10968711729602579,0.30665919184684753,0.19361527860164643,M2,3.3374959339439054
intel22_nova_f3::ext_frame_RAM1_data[27],intel22_nova_f3,93.0,71.03810915968992,1.2738436502076116,0.19141192734241486,0.8279918312922874,2.270693778991699,1.896952748298645,M2,3.325706567966902
intel22_nova_f3::ext_frame_RAM0_data[27],intel22_nova_f3,92.0,48.4262821497243,1.2063213756174958,0.20254769921302795,0.8663393207692949,2.0503828525543213,1.864655041694641,M2,3.2772113637199567
intel22_nova_f3::ext_frame_RAM0_data[8],intel22_nova_f3,105.0,22.93756030966457,0.8805792150905464,0.21346792578697205,0.8912463349262566,1.6487131118774414,2.1235081911087037,M4,3.175083126144515
intel22_nova_f3::n_122532,intel22_nova_f3,214.0,203.48062447776164,2.48564728654469,0.5449596047401428,2.235962412262809,5.680624008178711,3.9575762271881105,M2,3.102987437626684
intel22_nova_f3::n_188879,intel22_nova_f3,1.0,0.2692641376418445,0.09675646031438037,0.025062719359993935,0.10254368096709514,0.3010513186454773,0.17832639813423157,M2,3.0914826318000936
intel22_nova_f3::ext_frame_RAM0_data[23],intel22_nova_f3,84.0,67.14695222897932,1.2254403989480696,0.23479297757148743,0.9546644075273705,2.1011431217193604,1.651741123199463,M3,3.0659836482405174
