dominant_layer,n_nets,gnd_mape_median,gnd_mape_mean,cpl_mape_median,cpl_mape_mean,total_mape_median
M2,73640,0.18423401223846309,0.24345230406690416,0.15264070601596896,0.19779640206119908,0.06615122102540294
M3,19651,0.19719016699243538,0.2551358829761928,0.1489613509112707,0.2047127801632109,0.06424999005640594
M4,1708,0.19131805705584898,0.24305101708200308,0.13685861843437763,0.17061478792818086,0.07346648602919006
M5,595,0.1561141848308334,0.18911566383723322,0.13362094956865037,0.16123615761190827,0.05877048306442612
