fanout_bucket,n_nets,gnd_mape_median,gnd_mape_mean,cpl_mape_median,cpl_mape_mean,total_mape_median
1,44019,0.20665085758924803,0.26997018790835253,0.17958332479157296,0.2392329139659946,0.07855228273812277
2-5,312,0.1785517557529956,0.26232955251890777,0.2145290855521878,0.2619348074987924,0.07745809060659568
6-20,12037,0.15099001580711854,0.20056411808728308,0.1621399642111705,0.20760849154213223,0.061795119953261195
>20,39226,0.1757385822787013,0.2317162864852625,0.12357696025869805,0.14950244097876383,0.0551756643523678
