net,g_tot,p_tot,err_tot,g_gnd,p_gnd,g_cpl,p_cpl,g_res,p_res,mape,cap_bin
n_744,0.211213,0.194357,0.01685600000000001,0.09975901999999999,0.08255599999999998,0.11145404978,0.11180500000000003,76.515936,78.94510423999999,7.980569377831862,<1fF
n_1620,0.309051,0.306371,0.0026800000000000157,0.06345289,0.086035,0.2455978877999999,0.22033600000000003,86.69912500000001,87.37367328000002,0.8671707905814948,<1fF
n_547,0.0853329,0.085628,0.0002950999999999926,0.0338496,0.036742000000000004,0.05148329219999999,0.048887,38.59173400000001,38.694933819999996,0.34582206862768355,<1fF
n_1380,0.931683,0.915296,0.01638700000000004,0.45453397,0.3979530000000001,0.47714889670000016,0.5173429999999999,193.73560700000002,196.91117354,1.7588600414518714,<1fF
n_1371,0.179181,0.175439,0.0037419999999999953,0.0822061,0.07752400000000002,0.09697459948000003,0.09791700000000002,76.67280199999999,76.91223759999997,2.0883910682494213,<1fF
n_2110,2.85115,2.943723,0.0925729999999998,0.9459271100000001,1.1819269999999993,1.9052211532100018,1.7617950000000004,543.0559150000001,548.3766145700004,3.2468652999666725,1-5fF
n_942,0.906397,0.915791,0.009394000000000013,0.33498522999999997,0.39817100000000005,0.5714121961649998,0.51762,220.75027899999998,221.27811680000008,1.0364111973009633,<1fF
n_405,3.01589,2.884435,0.13145500000000032,1.20566632,1.1572139999999989,1.8102171966199998,1.7272160000000003,597.7254220000001,582.2571780199997,4.358746506006529,1-5fF
n_1141,0.146379,0.119207,0.027172000000000016,0.0251235,0.030848000000000004,0.1212552462,0.08836000000000001,43.886598,42.52101431999999,18.562771982319877,<1fF
n_2241,0.228724,0.19584,0.032884000000000024,0.10110129999999999,0.120881,0.1276225282,0.07496,77.48092,76.44414310000002,14.377153250205499,<1fF
n_1263,0.12187,0.120518,0.001352000000000006,0.0401312,0.026587000000000003,0.08173893650000001,0.09392900000000003,44.01965500000001,43.731114319999996,1.1093788463116485,<1fF
n_2301,0.100823,0.104681,0.0038580000000000003,0.0413817,0.032057999999999996,0.0594417523,0.072622,46.368725000000005,44.97491816,3.8265078404729085,<1fF
i_tv80_core_add_1284_21_n_426,0.215358,0.211318,0.004039999999999988,0.1074321,0.082772,0.107925982,0.12854700000000002,88.928479,89.68463756999999,1.8759460990536634,<1fF
n_1461,0.597715,0.67187,0.07415499999999997,0.1866814,0.26785,0.4110326464000001,0.404029,169.941326,173.17850318000004,12.406414428281032,<1fF
n_1330,0.208188,0.226095,0.01790699999999998,0.0972229,0.11872900000000002,0.11096508430000002,0.10736100000000001,86.19653100000002,81.49085564,8.601360308951515,<1fF
n_2118,0.262857,0.232005,0.03085200000000002,0.14834346,0.11214600000000001,0.114514032,0.11985899999999998,80.830837,80.10346392999999,11.737180291945817,<1fF
FE_OFN83_i_tv80_core_IR_6,4.27642,3.634627,0.6417929999999998,1.8211507299999996,1.3005170000000008,2.4552682551100005,2.334109,661.2843200000001,657.2026522999996,15.007716735026023,1-5fF
n_400,0.0855099,0.104537,0.019027100000000005,0.0374994,0.049953000000000004,0.0480105254,0.054587,47.96680800000001,44.94669898,22.251341657515685,<1fF
