layer,corr_frac_vs_signed_err,frac_mean
M1,0.12728175336366224,0.30551128530973837
M4,-0.10979240083918598,0.08318912837164315
M2,0.09779865943617344,0.2950731970830744
M5,-0.04794488752655384,0.043973701805074705
M3,-0.03999279041687942,0.27225269019395637
M6,,0.0
M7,,0.0
M8,,0.0
M9p,,0.0
